"stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","stringency_index:population_density","stringency_index:median_age","stringency_index:aged_65_older","stringency_index:aged_70_older","stringency_index:gdp_per_capita","stringency_index:extreme_poverty","stringency_index:cardiovasc_death_rate","stringency_index:diabetes_prevalence","stringency_index:female_smokers","stringency_index:male_smokers","stringency_index:handwashing_facilities","stringency_index:hospital_beds_per_thousand","stringency_index:life_expectancy","stringency_index:human_development_index","stringency_index:population","population_density:median_age","population_density:aged_65_older","population_density:aged_70_older","population_density:gdp_per_capita","population_density:extreme_poverty","population_density:cardiovasc_death_rate","population_density:diabetes_prevalence","population_density:female_smokers","population_density:male_smokers","population_density:handwashing_facilities","population_density:hospital_beds_per_thousand","population_density:life_expectancy","population_density:human_development_index","population_density:population","median_age:aged_65_older","median_age:aged_70_older","median_age:gdp_per_capita","median_age:extreme_poverty","median_age:cardiovasc_death_rate","median_age:diabetes_prevalence","median_age:female_smokers","median_age:male_smokers","median_age:handwashing_facilities","median_age:hospital_beds_per_thousand","median_age:life_expectancy","median_age:human_development_index","median_age:population","aged_65_older:aged_70_older","aged_65_older:gdp_per_capita","aged_65_older:extreme_poverty","aged_65_older:cardiovasc_death_rate","aged_65_older:diabetes_prevalence","aged_65_older:female_smokers","aged_65_older:male_smokers","aged_65_older:handwashing_facilities","aged_65_older:hospital_beds_per_thousand","aged_65_older:life_expectancy","aged_65_older:human_development_index","aged_65_older:population","aged_70_older:gdp_per_capita","aged_70_older:extreme_poverty","aged_70_older:cardiovasc_death_rate","aged_70_older:diabetes_prevalence","aged_70_older:female_smokers","aged_70_older:male_smokers","aged_70_older:handwashing_facilities","aged_70_older:hospital_beds_per_thousand","aged_70_older:life_expectancy","aged_70_older:human_development_index","aged_70_older:population","gdp_per_capita:extreme_poverty","gdp_per_capita:cardiovasc_death_rate","gdp_per_capita:diabetes_prevalence","gdp_per_capita:female_smokers","gdp_per_capita:male_smokers","gdp_per_capita:handwashing_facilities","gdp_per_capita:hospital_beds_per_thousand","gdp_per_capita:life_expectancy","gdp_per_capita:human_development_index","gdp_per_capita:population","extreme_poverty:cardiovasc_death_rate","extreme_poverty:diabetes_prevalence","extreme_poverty:female_smokers","extreme_poverty:male_smokers","extreme_poverty:handwashing_facilities","extreme_poverty:hospital_beds_per_thousand","extreme_poverty:life_expectancy","extreme_poverty:human_development_index","extreme_poverty:population","cardiovasc_death_rate:diabetes_prevalence","cardiovasc_death_rate:female_smokers","cardiovasc_death_rate:male_smokers","cardiovasc_death_rate:handwashing_facilities","cardiovasc_death_rate:hospital_beds_per_thousand","cardiovasc_death_rate:life_expectancy","cardiovasc_death_rate:human_development_index","cardiovasc_death_rate:population","diabetes_prevalence:female_smokers","diabetes_prevalence:male_smokers","diabetes_prevalence:handwashing_facilities","diabetes_prevalence:hospital_beds_per_thousand","diabetes_prevalence:life_expectancy","diabetes_prevalence:human_development_index","diabetes_prevalence:population","female_smokers:male_smokers","female_smokers:handwashing_facilities","female_smokers:hospital_beds_per_thousand","female_smokers:life_expectancy","female_smokers:human_development_index","female_smokers:population","male_smokers:handwashing_facilities","male_smokers:hospital_beds_per_thousand","male_smokers:life_expectancy","male_smokers:human_development_index","male_smokers:population","handwashing_facilities:hospital_beds_per_thousand","handwashing_facilities:life_expectancy","handwashing_facilities:human_development_index","handwashing_facilities:population","hospital_beds_per_thousand:life_expectancy","hospital_beds_per_thousand:human_development_index","hospital_beds_per_thousand:population","life_expectancy:human_development_index","life_expectancy:population","human_development_index:population","location","iso_code","total_cases.y","continent_Africa","continent_Asia","continent_Europe","continent_North_America","continent_Oceania","continent_South_America"
86,4,25,3,2,15807,2,237,4,5,34,48,1,69,0,2630300,348,2221,339,193,1361172,215,20440,414,490,2962,4198,154,5992,63,226495133,104,15,9,63925,10,959,19,23,139,197,7,281,2,10636933,101,57,407830,64,6124,124,147,887,1257,46,1795,18,67861740,8,62296,9,935,18,22,135,192,7,274,2,10366012,35440,5,532,10,12,77,109,4,156,1,5897132,39518,3752227,76033,90102,543773,770656,28453,1100035,11618,NA,593,12,14,86,121,4,173,1,6575750,1141,1353,8165,11572,427,16518,174,624359571,27,165,234,8,334,3,12651742,196,277,10,396,4,14992710,1677,61,2393,25,90482320,87,3392,35,128235015,125,1,4734540,51,183042577,1933270,"Botswana","BWA",330696,1,0,0,0,0,0
5,25,33,8,5,14103,3,177,8,10,17,48,2,75,0,215313504,139,186,47,28,78415,18,989,45,56,99,271,12,421,4,1197143082,838,214,126,353150,85,4456,203,252,448,1220,55,1900,19,NA,286,169,472465,113,5961,271,338,599,1633,73,2541,25,NA,43,120612,29,1521,69,86,153,416,18,648,6,1841361086,71363,17,900,41,51,90,246,11,383,3,1089486330,47951,2509864,114378,142444,252451,687585,31027,1070169,10789,NA,605,27,34,60,165,7,257,2,732065913,1443,1797,3185,8676,391,13503,136,NA,81,145,395,17,615,6,1746192517,180,492,22,766,7,NA,872,39,1358,13,NA,107,3699,37,NA,166,1,473689708,58,NA,164714830,"Brazil","BRA",37511921,0,0,0,0,0,1
50,81,32,4,2,71809,2,201,12,2,30,48,2,75,0,449002,4067,1620,229,119,3590462,125,10064,639,100,1545,2437,135,3793,41,22450100,2635,373,193,5841467,203,16373,1040,162,2513,3965,219,6170,68,36524965,148,77,2326619,81,6521,414,64,1001,1579,87,2457,27,14547664,10,329676,11,924,58,9,141,223,12,348,3,2061368,171049,5,479,30,4,73,116,6,180,1,1069522,179523,14454125,918440,143618,2218905,3500916,193884,5447449,60176,NA,503,31,5,77,121,6,189,2,1122505,2574,402,6219,9813,543,15269,168,90377367,25,395,623,34,970,10,5742735,61,97,5,151,1,898004,1506,83,2344,25,13874161,131,3698,40,21890194,204,2,1212305,63,34061291,376263,"Brunei","BRN",347723,0,1,0,0,0,0
21,65,44,20,13,18563,1,424,5,30,44,48,7,75,0,6781955,1388,952,443,282,395398,31,9045,123,641,945,1038,158,1598,17,144455641,2913,1355,865,1209956,97,27681,378,1961,2893,3177,485,4891,53,442047826,929,593,829779,67,18983,259,1345,1984,2179,333,3354,36,303153388,276,386135,31,8833,120,626,923,1014,155,1561,16,141071445,246372,19,5636,77,399,589,647,98,996,10,90010106,27844,7883613,107852,558755,824210,905016,138370,1393176,15147,NA,637,8,45,66,73,11,112,1,10172932,2467,12783,18856,20704,3165,31872,346,NA,174,257,283,43,436,4,39403158,1336,1467,224,2259,24,204136845,2164,330,3332,36,301118802,363,3658,39,330640652,559,6,50552692,61,508985722,5534075,"Bulgaria","BGR",1329988,0,0,1,0,0,0
19,70,17,2,1,1703,43,269,2,1,23,11,0,61,0,22673764,1363,342,46,26,33108,849,5230,47,31,464,230,7,1197,8,440777972,1234,168,95,119474,3065,18873,169,112,1676,833,28,4319,31,1590587218,42,23,29974,769,4735,42,28,420,209,7,1083,7,399058246,3,4102,105,648,5,3,57,28,0,148,1,54621097,2312,59,365,3,2,32,16,0,83,0,30790971,74425,458216,4121,2724,40704,20227,681,104877,769,NA,11757,105,69,1044,519,17,2691,19,990843486,651,430,6430,3195,107,16567,121,NA,3,57,28,0,149,1,54870508,38,19,0,98,0,36278022,283,9,1471,10,541902959,4,731,5,269296295,24,0,9069505,27,1396250387,10248541,"Burkina Faso","BFA",22139,1,0,0,0,0,0
13,423,17,2,1,702,71,293,6,6,32,6,0,61,0,12889583,5876,243,35,20,9753,995,4070,84,86,447,85,11,855,6,179036307,7403,1083,636,297084,30333,123985,2559,2644,13643,2599,338,26052,183,NA,44,26,12288,1254,5128,105,109,564,107,14,1077,7,225567702,3,1799,183,750,15,16,82,15,2,157,1,33023111,1056,107,440,9,9,48,9,1,92,0,19385932,50349,205799,4248,4388,22646,4314,561,43243,304,NA,21012,433,448,2312,440,57,4415,31,924183101,1773,1831,9451,1800,234,18047,126,NA,37,195,37,4,372,2,77981977,201,38,5,384,2,80559893,198,25,1985,13,415689051,4,378,2,79193597,49,0,10311666,26,793740521,5581189,"Burundi","BDI",54569,1,0,0,0,0,0
0,90,25,4,2,3645,2,270,4,2,33,66,0,69,0,16767851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2321,400,216,330505,226,24562,362,181,3055,6005,72,6330,53,1520374585,112,61,93313,64,6934,102,51,862,1695,20,1787,15,429256985,10,16082,11,1195,17,8,148,292,3,308,2,73979758,8693,5,646,9,4,80,157,1,166,1,39991324,9112,987420,14580,7290,122838,241409,2916,254498,2165,NA,677,10,5,84,165,2,174,1,41919627,1083,541,9129,17940,216,18913,160,NA,8,134,264,3,279,2,67071404,67,132,1,139,1,33535702,2231,26,2352,20,565076578,52,4624,39,1110518003,55,0,13414280,41,1170731356,9960103,"Cambodia","KHM",139319,0,1,0,0,0,0
0,50,18,3,1,3364,23,244,7,6,32,2,1,59,0,27914542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956,161,97,171224,1211,12449,366,318,1641,139,66,3016,28,1420431469,59,36,63260,447,4599,135,117,606,51,24,1114,10,524793389,6,10649,75,774,22,19,102,8,4,187,1,88349525,6457,45,469,13,11,61,5,2,113,1,53568006,80085,823266,24227,21030,108518,9203,4374,199506,1894,NA,5822,171,148,767,65,30,1411,13,664366099,1761,1529,7890,669,318,14505,137,NA,45,232,19,9,426,4,200984702,201,17,8,370,3,174465887,88,41,1912,18,900243979,3,162,1,76346272,77,0,36288904,33,1655053195,15715887,"Cameroon","CMR",125246,1,0,0,0,0,0
2,4,41,16,10,44017,0,105,7,12,16,48,2,82,0,38454328,11,115,47,30,122368,1,293,20,33,46,135,6,229,2,106903031,167,68,43,177699,2,426,29,48,67,196,10,332,3,155240122,703,446,1822328,20,4371,305,496,687,2018,103,3412,38,1592009179,183,747594,8,1793,125,203,281,828,42,1399,15,653108306,475257,5,1140,79,129,179,526,26,889,10,415191379,22008,4648213,324409,528211,730692,2145989,110043,3628370,40892,NA,52,3,6,8,24,1,41,0,19227164,778,1267,1752,5148,263,8704,98,NA,88,122,359,18,607,6,283408397,199,585,30,989,11,461451936,809,41,1368,15,638341844,121,4018,45,1874763852,206,2,96135820,76,NA,35724070,"Canada","CAN",4819055,0,0,0,1,0,0
43,135,25,4,3,6222,2,182,2,2,16,48,2,72,0,593162,5900,1118,194,149,270805,108,7930,105,91,718,2121,91,3176,28,25814410,3484,604,465,843653,338,24705,328,284,2237,6609,284,9894,90,80420903,114,88,159919,64,4683,62,53,424,1252,53,1875,17,15244263,15,27752,11,812,10,9,73,217,9,325,2,2645502,21386,8,626,8,7,56,167,7,250,2,2038697,15556,1133867,15058,13067,102672,303368,13067,454121,4137,NA,455,6,5,41,121,5,182,1,1482905,440,382,3006,8883,382,13298,121,108085386,5,39,117,5,176,1,1435452,34,102,4,153,1,1245640,804,34,1204,10,9787173,102,3557,32,28918426,153,1,1245640,48,43288962,394452,"Cape Verde","CPV",64474,1,0,0,0,0,0
11,7,18,3,2,661,2,435,6,6,32,16,1,53,0,5579148,83,203,40,25,7346,27,4840,67,69,358,184,11,591,4,61984334,136,27,16,4945,18,3258,45,46,241,124,7,398,2,41726447,66,41,12100,45,7973,111,114,590,303,18,975,7,102098408,8,2416,9,1592,22,22,117,60,3,194,1,20391785,1488,5,980,13,14,72,37,2,119,0,12558662,1653,288120,4033,4132,21324,10978,661,35230,262,NA,1089,15,15,80,41,2,133,0,13947870,2657,2723,14052,7234,435,23215,172,NA,38,196,101,6,325,2,34032802,201,103,6,333,2,34869675,535,32,1718,12,179927523,16,884,6,92630594,53,0,5579148,21,297257005,2214921,"Central African Republic","CAF",15441,1,0,0,0,0,0
27,11,16,2,1,1768,38,280,6,6,32,5,2,54,0,17723312,328,463,69,40,49119,1066,7806,169,173,895,161,63,1506,11,492353607,197,29,17,20922,454,3325,72,73,381,68,27,641,4,209719950,41,24,29528,641,4692,101,104,538,97,38,905,6,295979310,3,4395,95,698,15,15,80,14,5,134,0,44060153,2556,55,406,8,9,46,8,3,78,0,25627909,67897,496842,10785,11050,57022,10287,4066,95904,703,NA,10790,234,240,1238,223,88,2082,15,680575180,1714,1756,9062,1634,646,15241,111,NA,38,196,35,14,330,2,108112203,201,36,14,339,2,110770700,187,74,1749,12,571576812,13,315,2,103114229,124,0,40763617,21,961312442,7053878,"Chad","TCD",7702,1,0,0,0,0,0
0,24,35,11,6,22767,1,127,8,34,41,48,2,80,0,19603736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,269,168,552829,31,3107,205,830,1007,1183,51,1946,20,476017917,392,245,805953,46,4530,299,1210,1469,1725,74,2838,30,693972254,76,252418,14,1419,93,379,460,540,23,888,9,217346621,157957,9,888,58,237,287,338,14,556,5,136010720,29597,2914021,192609,778632,944832,1109961,48038,1825461,19374,NA,166,10,44,53,63,2,104,1,25484856,1082,4377,5311,6240,270,10262,108,NA,289,351,412,17,678,7,165847606,1419,1667,72,2742,29,670447771,2023,87,3327,35,813555044,102,3909,41,955740941,169,1,41363882,68,1571827552,16682779,"Chile","CHL",5401126,0,0,0,0,0,1
2,147,38,10,5,15308,0,261,9,1,48,48,4,76,0,1425887360,410,107,29,16,42558,1,728,27,5,134,135,12,213,2,NA,5714,1571,875,2260698,103,38675,1438,280,7147,7199,640,11357,112,NA,411,229,592447,27,10135,376,73,1873,1886,167,2976,29,NA,63,162900,7,2786,103,20,515,518,46,818,8,NA,90765,4,1552,57,11,286,289,25,455,4,NA,10716,4009336,149106,29086,740941,746345,66439,1177393,11649,NA,183,6,1,33,34,3,53,0,998121151,2550,497,12675,12768,1136,20142,199,NA,18,471,474,42,749,7,NA,91,92,8,146,1,NA,2359,210,3722,36,NA,211,3749,37,NA,333,3,NA,58,NA,1085100280,"China","CHN",99373219,0,1,0,0,0,0
12,44,32,7,4,13254,4,124,7,4,13,65,1,77,0,51874028,532,387,92,51,159589,54,1495,89,56,162,787,20,930,9,624563297,1423,338,190,586173,199,5494,329,207,597,2891,75,3417,33,NA,246,138,426809,144,4000,239,151,434,2105,55,2488,24,1670343701,32,101347,34,949,56,35,103,499,13,590,5,396628818,57155,19,535,32,20,58,281,7,333,3,223680808,59647,1646794,98616,62298,178941,866688,22665,1024475,10166,NA,559,33,21,60,294,7,347,3,233433126,924,583,1677,8123,212,9602,95,NA,34,100,486,12,575,5,385942768,63,307,8,363,3,243807931,882,23,1043,10,700299378,111,5053,50,NA,132,1,88704587,59,NA,39787379,"Colombia","COL",6391876,0,0,0,0,0,1
19,437,20,2,1,1413,18,261,11,4,23,15,2,64,0,836783,8502,396,57,33,27486,351,5083,230,85,458,302,42,1250,10,16267061,8921,1295,754,618367,7916,114374,5195,1924,10321,6811,962,28130,242,365968718,60,35,28843,369,5334,242,89,481,317,44,1312,11,17070373,5,4189,53,774,35,13,69,46,6,190,1,2479388,2440,31,451,20,7,40,26,3,111,0,1444287,25591,369754,16797,6221,33367,22019,3110,90941,783,1183119115,4733,215,79,427,281,39,1164,10,15145772,3106,1150,6171,4072,575,16820,144,218832143,52,280,185,26,764,6,9940982,103,68,9,283,2,3681845,367,51,1517,13,19748078,34,1001,8,13032058,141,1,1840922,35,53821882,463577,"Comoros","COM",9109,1,0,0,0,0,0
11,15,19,3,2,4881,37,344,7,1,52,47,2,64,0,5970430,171,211,37,22,54232,411,3822,79,18,581,532,25,717,6,66331477,292,52,31,75198,569,5300,110,26,805,738,35,994,8,91974474,64,39,92746,703,6537,136,32,993,911,43,1226,10,113438170,7,16606,125,1170,24,5,177,163,7,219,1,20311402,10070,76,709,14,3,107,98,4,133,1,12316997,180612,1679662,35146,8298,255297,234131,11227,315192,2801,NA,12731,266,62,1935,1774,85,2389,21,220905910,2477,584,17996,16504,791,22218,197,2054389140,12,376,345,16,464,4,42987096,88,81,3,109,0,10149731,2508,120,3377,30,312253489,110,3097,27,286365704,148,1,13731988,37,385510665,3427026,"Congo","COG",25227,1,0,0,0,0,0
11,96,33,9,5,15524,1,137,8,6,17,83,1,80,0,5180836,1067,373,105,63,172482,14,1532,97,71,193,931,12,891,8,57559087,3228,909,547,1491625,124,13256,843,614,1671,8055,108,7713,77,497769542,318,191,521639,43,4635,295,215,584,2817,37,2697,27,174076089,53,146990,12,1306,83,60,164,793,10,760,7,49052155,88399,7,785,49,36,99,477,6,457,4,29499680,20182,2142030,136309,99359,270134,1301631,17543,1246346,12575,NA,179,11,8,22,108,1,104,1,6735086,1211,883,2400,11567,155,11076,111,714815485,56,152,736,9,704,7,45487740,111,536,7,513,5,33157350,1458,19,1396,14,90146546,94,6730,67,434366471,90,0,5854344,65,415917514,4196477,"Costa Rica","CRI",1234701,0,0,0,1,0,0
11,76,18,2,1,3601,28,303,2,6,32,19,2,57,0,28160548,848,207,32,17,40007,313,3374,26,69,358,214,25,641,5,312863688,1428,224,120,275113,2154,23205,184,477,2463,1478,175,4414,41,NA,54,29,67338,527,5679,45,116,603,361,43,1080,10,526602247,4,10561,82,890,7,18,94,56,6,169,1,82594887,5696,44,480,3,9,51,30,3,91,0,44549986,101548,1093769,8714,22506,116132,69683,8282,208066,1937,NA,8565,68,176,909,545,64,1629,15,794127453,735,1898,9795,5877,698,17550,163,NA,15,78,46,5,139,1,68148526,201,120,14,361,3,176003425,624,74,1863,17,908177673,44,1118,10,544934764,132,1,64769260,31,1627116463,15150374,"Cote d'Ivoire","CIV",88434,1,0,0,0,0,0
13,73,44,19,13,22669,0,253,5,34,39,48,5,78,0,4030361,1024,611,273,181,314883,9,3525,77,476,554,677,76,1090,11,55981714,3243,1454,962,1671353,51,18710,412,2528,2941,3594,408,5786,62,297142395,867,574,997471,30,11166,245,1509,1755,2145,243,3453,37,177335884,257,447139,13,5005,110,676,786,961,109,1548,16,79494840,295908,9,3312,72,447,520,636,72,1024,11,52608302,15868,5753186,126724,777574,904524,1105220,125590,1779352,19291,NA,177,3,24,27,34,3,54,0,2821252,1418,8704,10125,12372,1405,19919,215,1022833075,191,223,272,30,438,4,22529717,1368,1672,190,2692,29,138241382,1945,221,3131,33,160811403,270,3826,41,196492189,434,4,22328199,66,316343034,3429837,"Croatia","HRV",1317144,0,0,1,0,0,0
13,110,43,14,9,11803,2,190,8,17,53,85,5,78,0,11212198,1533,598,204,134,163949,34,2652,114,237,740,1183,72,1094,10,155737430,4758,1627,1073,1303193,276,21084,913,1887,5884,9406,574,8700,86,1237916356,635,418,508727,107,8230,356,737,2297,3672,224,3396,33,483245733,143,173958,36,2814,121,252,785,1255,76,1161,11,165245374,114717,24,1856,80,166,518,828,50,765,7,108971352,29508,2254077,97614,201838,629122,1005628,61377,930110,9242,NA,477,20,42,133,212,13,197,1,28030495,1579,3265,10178,16270,993,15048,149,2141171027,141,440,704,43,651,6,92724877,911,1456,88,1347,13,191728585,4541,277,4200,41,597610153,443,6713,66,955256845,409,4,58303429,61,883521202,8779151,"Cuba","CUB",1113662,0,0,0,1,0,0
44,127,37,13,8,32415,2,141,9,19,52,48,3,80,0,896007,5673,1657,596,380,1440528,111,6273,410,871,2341,2166,151,3598,39,39818551,4761,1712,1093,4138018,319,18021,1179,2502,6727,6223,434,10337,113,114381565,500,319,1209084,93,5265,344,731,1965,1818,126,3020,33,33421061,114,434881,33,1893,123,262,707,654,45,1086,11,12020829,277570,21,1208,79,167,451,417,29,693,7,7672507,81037,4576076,299515,635336,1708277,1580334,110211,2624977,28752,NA,352,23,49,131,121,8,202,2,2240017,1304,2766,7439,6882,479,11432,125,126490204,181,486,450,31,748,8,8279104,1032,955,66,1587,17,17561737,2569,179,4267,46,47219568,165,3948,43,43683029,275,3,3046423,71,72558646,794758,"Cyprus","CYP",696410,0,0,1,0,0,0
19,137,43,19,11,32605,2,227,6,30,38,48,6,79,0,10493990,2666,841,369,225,633858,48,4422,132,592,744,947,128,1543,17,204003165,5939,2610,1588,4472747,342,31205,935,4183,5253,6687,909,10889,123,1439523572,823,501,1411835,108,9850,295,1320,1658,2111,287,3437,38,454389766,220,620392,47,4328,129,580,728,927,126,1510,17,199669147,377576,28,2634,78,353,443,564,76,919,10,121520404,81514,7417354,222372,994480,1248806,1589635,216177,2588256,29345,NA,568,17,76,95,121,16,198,2,26234975,1551,6938,8712,11090,1508,18057,204,NA,208,261,332,45,541,6,71569011,1168,1486,202,2421,27,320066695,1867,253,3040,34,401919816,323,3870,43,511613494,526,5,69575153,71,833012926,9444591,"Czechia","CZE",4761919,0,0,1,0,0,0
11,35,17,3,1,808,77,318,6,6,32,4,2,60,0,99010216,398,188,33,19,8978,856,3543,67,69,358,49,25,674,5,1100003499,609,108,62,28995,2766,11443,218,224,1157,160,82,2177,17,NA,51,29,13738,1310,5422,103,106,548,76,39,1031,8,1683173672,5,2440,232,963,18,18,97,13,6,183,1,299010852,1410,134,556,10,10,56,7,4,105,0,172772826,62307,257753,4929,5050,26062,3613,1858,49037,387,NA,24590,470,481,2486,344,177,4678,37,NA,1945,1993,10286,1426,733,19353,153,NA,38,196,27,14,370,2,603962317,201,27,14,379,3,618813850,144,74,1956,15,NA,10,271,2,442773685,139,1,227723496,29,NA,47524903,"Democratic Republic of Congo","COD",101009,1,0,0,0,0,0
11,136,42,19,12,46682,0,114,6,19,18,48,2,80,0,5882259,1516,469,218,136,518642,2,1275,71,214,208,541,27,898,10,65351897,5774,2686,1682,6373096,27,15667,875,2634,2566,6655,341,11044,128,803045998,832,521,1974670,8,4854,271,816,795,2062,105,3422,39,248819555,242,918571,3,2258,126,379,369,959,49,1591,18,115745210,575361,2,1414,79,237,231,600,30,997,11,72498842,9336,5357612,299234,900972,877631,2275912,116706,3776615,43881,NA,22,1,3,3,9,0,16,0,1176451,735,2215,2157,5595,286,9284,107,675089218,123,120,312,16,518,6,37705280,362,940,48,1561,18,113527598,916,47,1520,17,110586469,121,3944,45,286777773,202,2,14705647,76,475874753,5529323,"Denmark","DNK",3435679,0,0,1,0,0,0
46,41,25,4,2,2705,22,258,6,1,24,48,1,67,0,1120851,1911,1176,195,110,125260,1041,11947,280,78,1134,2257,64,3107,24,51895401,1048,173,98,111692,928,10653,249,70,1011,2012,57,2770,21,46274333,107,60,68717,571,6554,153,43,622,1238,35,1704,13,28469615,10,11397,94,1087,25,7,103,205,5,282,2,4722145,6438,53,614,14,4,58,116,3,159,1,2667625,60871,698094,16367,4599,66282,131896,3787,181559,1417,NA,5805,136,38,551,1096,31,1509,11,25219147,1561,438,6321,12580,361,17316,135,289221029,10,148,294,8,406,3,6781148,41,82,2,114,0,1905446,1194,34,1644,12,27460849,68,3271,25,54644848,93,0,1569191,35,75220310,587325,"Djibouti","DJI",15690,1,0,0,0,0,0
11,222,27,6,4,14600,1,266,8,8,19,55,1,74,0,11228821,2476,306,77,49,162215,17,2962,91,94,212,613,17,823,8,124752201,6151,1555,984,3254137,356,59429,1827,1894,4256,12298,356,16510,168,NA,192,121,402983,44,7359,226,234,527,1523,44,2044,20,309915459,30,101928,11,1861,57,59,133,385,11,517,5,78388399,64521,7,1178,36,37,84,243,7,327,3,49620159,23361,3893363,119727,124107,278876,805704,23361,1081631,11038,NA,426,13,13,30,88,2,118,1,17966113,2186,2266,5093,14714,426,19753,201,NA,69,156,452,13,607,6,92076332,162,469,13,629,6,95444978,1053,30,1414,14,214470481,88,4087,41,619628800,118,1,17966113,56,831831059,8488988,"Dominican Republic","DOM",661103,0,0,0,1,0,0
19,87,18,3,1,6570,30,335,6,6,78,28,5,69,0,1341298,1694,349,69,36,127722,589,6519,133,122,1518,547,114,1351,11,26074833,1569,309,165,572755,2641,29234,598,549,6808,2456,514,6058,52,116928994,64,34,118261,545,6036,123,113,1405,507,106,1251,10,24143364,6,23363,107,1192,24,22,277,100,20,247,2,4769655,12463,57,636,13,11,148,53,11,131,1,2544442,199074,2203257,45070,41391,513124,185132,38763,456622,3981,NA,10160,207,190,2366,853,178,2105,18,40641329,2300,2112,26190,9449,1978,23306,203,449798919,43,535,193,40,476,4,9201304,492,177,37,437,3,8450177,2200,460,5427,47,104755373,166,1958,17,37795095,410,3,7913658,42,93220211,812826,"East Timor","TLS",23460,0,1,0,0,0,0
8,66,28,7,4,10581,3,140,5,2,12,80,1,77,0,18001002,557,234,59,37,88147,29,1169,46,16,102,671,12,641,6,149948346,1880,475,298,708344,240,9401,371,133,823,5397,100,5154,50,1204969072,199,125,297352,101,3946,155,56,345,2265,42,2163,21,505828156,31,75174,25,997,39,14,87,572,10,547,5,127879118,47174,16,626,24,8,54,359,6,343,3,80248466,38094,1486211,58729,21163,130157,853274,15872,814914,8031,NA,505,19,7,44,290,5,277,2,64803607,779,280,1727,11325,210,10815,106,NA,11,68,447,8,427,4,99905561,24,161,3,154,1,36002004,991,18,947,9,221412324,120,6209,61,1451510796,115,1,27001503,58,1386257164,13662760,"Ecuador","ECU",1077445,0,0,0,0,0,1
0,97,25,5,2,10550,1,525,17,0,50,89,1,71,0,110990096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2479,505,283,1033909,127,51491,1696,19,4909,8802,156,7054,69,NA,130,73,266920,32,13293,437,5,1267,2272,40,1821,17,NA,14,54428,6,2710,89,1,258,463,8,371,3,572597905,30500,3,1519,50,0,144,259,4,208,2,320872367,13715,5543415,182624,2110,528565,947693,16880,759509,7458,NA,683,22,0,65,116,2,93,0,144287124,9095,105,26324,47197,840,37825,371,NA,3,867,1554,27,1246,12,1921238561,10,17,0,14,0,22198019,4500,80,3606,35,NA,143,6466,63,NA,115,1,177584153,50,NA,78469997,"Egypt","EGY",516023,1,0,0,0,0,0
88,307,27,8,5,7292,2,167,8,2,18,90,1,73,0,6336393,27361,2453,735,481,648226,195,14870,788,222,1671,8057,115,6517,59,563241973,8495,2546,1667,2244698,677,51495,2730,769,5786,27903,400,22568,207,1950411465,228,149,201271,60,4617,244,69,518,2501,35,2023,18,174884446,44,60330,18,1384,73,20,155,749,10,606,5,52420979,39503,11,906,48,13,101,491,7,397,3,34324240,16043,1219991,64684,18231,137098,661061,9480,534683,4907,NA,368,19,5,41,199,2,161,1,13940064,1483,418,3145,15165,217,12266,112,1060046866,22,166,804,11,650,5,56203805,47,226,3,183,1,15840982,1704,24,1378,12,119124188,117,6646,61,574394025,95,0,8237310,49,464584334,4264392,"El Salvador","SLV",201920,0,0,0,1,0,0
19,45,22,2,1,22604,2,202,7,6,32,24,2,58,0,1674916,878,435,55,34,439438,48,3942,151,121,626,479,40,1141,11,32560367,1012,128,79,1021604,112,9165,351,282,1457,1113,94,2654,26,75696153,63,39,506349,56,4542,174,140,722,551,47,1315,13,37518118,4,64333,7,577,22,17,91,70,5,167,1,4766810,39603,4,355,13,10,56,43,3,102,1,2934452,56512,4584539,175865,141280,729007,556984,47470,1327810,13382,NA,507,19,15,80,61,5,146,1,4187290,1577,1267,6540,4997,425,11913,120,339693063,48,250,191,16,456,4,13030846,201,154,13,367,3,10468225,794,67,1894,19,54016041,51,1447,14,41269930,123,1,3517323,34,98384565,991550,"Equatorial Guinea","GNQ",17130,1,0,0,0,0,0
19,44,19,3,2,1510,2,311,6,0,11,48,0,66,0,3684041,861,375,70,42,29363,48,6047,117,3,221,947,13,1289,8,71617757,855,159,96,66919,110,13783,268,8,505,2159,31,2938,20,163217752,69,41,29151,48,6004,116,3,220,940,13,1279,8,71101991,7,5448,9,1122,21,0,41,175,2,239,1,13288335,3279,5,675,13,0,24,105,1,143,0,7998053,3776,469918,9138,302,17219,73639,1057,100173,693,NA,777,15,0,28,121,1,165,1,9210102,1882,62,3546,15167,217,20632,142,1146141995,1,68,294,4,401,2,22288448,2,9,0,13,0,736808,555,7,756,5,41998067,34,3233,22,179608050,46,0,2578828,30,244325599,1690974,"Eritrea","ERI",10189,1,0,0,0,0,0
