"stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","stringency_index:population_density","stringency_index:median_age","stringency_index:aged_65_older","stringency_index:aged_70_older","stringency_index:gdp_per_capita","stringency_index:extreme_poverty","stringency_index:cardiovasc_death_rate","stringency_index:diabetes_prevalence","stringency_index:female_smokers","stringency_index:male_smokers","stringency_index:handwashing_facilities","stringency_index:hospital_beds_per_thousand","stringency_index:life_expectancy","stringency_index:human_development_index","stringency_index:population","population_density:median_age","population_density:aged_65_older","population_density:aged_70_older","population_density:gdp_per_capita","population_density:extreme_poverty","population_density:cardiovasc_death_rate","population_density:diabetes_prevalence","population_density:female_smokers","population_density:male_smokers","population_density:handwashing_facilities","population_density:hospital_beds_per_thousand","population_density:life_expectancy","population_density:human_development_index","population_density:population","median_age:aged_65_older","median_age:aged_70_older","median_age:gdp_per_capita","median_age:extreme_poverty","median_age:cardiovasc_death_rate","median_age:diabetes_prevalence","median_age:female_smokers","median_age:male_smokers","median_age:handwashing_facilities","median_age:hospital_beds_per_thousand","median_age:life_expectancy","median_age:human_development_index","median_age:population","aged_65_older:aged_70_older","aged_65_older:gdp_per_capita","aged_65_older:extreme_poverty","aged_65_older:cardiovasc_death_rate","aged_65_older:diabetes_prevalence","aged_65_older:female_smokers","aged_65_older:male_smokers","aged_65_older:handwashing_facilities","aged_65_older:hospital_beds_per_thousand","aged_65_older:life_expectancy","aged_65_older:human_development_index","aged_65_older:population","aged_70_older:gdp_per_capita","aged_70_older:extreme_poverty","aged_70_older:cardiovasc_death_rate","aged_70_older:diabetes_prevalence","aged_70_older:female_smokers","aged_70_older:male_smokers","aged_70_older:handwashing_facilities","aged_70_older:hospital_beds_per_thousand","aged_70_older:life_expectancy","aged_70_older:human_development_index","aged_70_older:population","gdp_per_capita:extreme_poverty","gdp_per_capita:cardiovasc_death_rate","gdp_per_capita:diabetes_prevalence","gdp_per_capita:female_smokers","gdp_per_capita:male_smokers","gdp_per_capita:handwashing_facilities","gdp_per_capita:hospital_beds_per_thousand","gdp_per_capita:life_expectancy","gdp_per_capita:human_development_index","gdp_per_capita:population","extreme_poverty:cardiovasc_death_rate","extreme_poverty:diabetes_prevalence","extreme_poverty:female_smokers","extreme_poverty:male_smokers","extreme_poverty:handwashing_facilities","extreme_poverty:hospital_beds_per_thousand","extreme_poverty:life_expectancy","extreme_poverty:human_development_index","extreme_poverty:population","cardiovasc_death_rate:diabetes_prevalence","cardiovasc_death_rate:female_smokers","cardiovasc_death_rate:male_smokers","cardiovasc_death_rate:handwashing_facilities","cardiovasc_death_rate:hospital_beds_per_thousand","cardiovasc_death_rate:life_expectancy","cardiovasc_death_rate:human_development_index","cardiovasc_death_rate:population","diabetes_prevalence:female_smokers","diabetes_prevalence:male_smokers","diabetes_prevalence:handwashing_facilities","diabetes_prevalence:hospital_beds_per_thousand","diabetes_prevalence:life_expectancy","diabetes_prevalence:human_development_index","diabetes_prevalence:population","female_smokers:male_smokers","female_smokers:handwashing_facilities","female_smokers:hospital_beds_per_thousand","female_smokers:life_expectancy","female_smokers:human_development_index","female_smokers:population","male_smokers:handwashing_facilities","male_smokers:hospital_beds_per_thousand","male_smokers:life_expectancy","male_smokers:human_development_index","male_smokers:population","handwashing_facilities:hospital_beds_per_thousand","handwashing_facilities:life_expectancy","handwashing_facilities:human_development_index","handwashing_facilities:population","hospital_beds_per_thousand:life_expectancy","hospital_beds_per_thousand:human_development_index","hospital_beds_per_thousand:population","life_expectancy:human_development_index","life_expectancy:population","human_development_index:population","location","iso_code","total_cases.y","continent_Africa","continent_Asia","continent_Europe","continent_North_America","continent_Oceania","continent_South_America"
30,1935,32,2,1,43290,2,151,16,5,37,48,2,77,0,1472237,59161,990,72,42,1322963,76,4635,504,177,1149,1489,61,2361,26,44991562,62723,4591,2685,83806778,4839,293655,31981,11228,72790,94381,3871,149626,1649,NA,76,44,1402618,81,4914,535,187,1218,1579,64,2504,27,47700478,3,102685,5,359,39,13,89,115,4,183,2,3492146,60044,3,210,22,8,52,67,2,107,1,2041992,108226,6566723,715162,251086,1627730,2110551,86581,3345938,36883,NA,379,41,14,94,121,5,193,2,3680592,2505,879,5703,7395,303,11724,129,223322158,95,621,805,33,1276,14,24321355,218,282,11,448,4,8538974,1833,75,2906,32,55356111,97,3768,41,71775970,154,1,2944474,65,113789197,1254345,"Bahrain","BHR",696614,0,1,0,0,0,0
13,1265,27,5,3,3523,14,298,8,1,44,34,0,72,0,171186368,17571,381,70,45,48948,205,4139,116,13,620,483,11,1008,8,NA,34788,6449,4126,4457966,18722,376984,10601,1265,56547,44033,1012,91828,799,NA,140,89,96909,407,8195,230,27,1229,957,22,1996,17,NA,16,17965,75,1519,42,5,227,177,4,370,3,872708104,11495,48,972,27,3,145,113,2,236,2,558409932,52154,1050157,29530,3523,157522,122662,2819,255805,2227,NA,4410,124,14,661,515,11,1074,9,NA,2497,298,13320,10372,238,21632,188,NA,8,374,291,6,608,5,1434541763,44,34,0,72,0,171186368,1555,35,3244,28,NA,27,2526,21,NA,58,0,136949094,45,NA,108189784,"Bangladesh","BGD",2051348,0,1,0,0,0,0
47,664,39,14,9,16978,2,170,13,1,14,88,5,79,0,281646,31375,1879,706,447,801704,118,8029,640,89,684,4177,273,3739,38,13299324,26445,9935,6294,11281297,1661,112991,9016,1262,9634,58784,3853,52618,540,187143346,595,377,675727,99,6767,540,75,577,3521,230,3151,32,11209510,141,253856,37,2542,202,28,216,1322,86,1184,12,4211170,160833,23,1610,128,17,137,838,54,750,7,2668032,42445,2887120,230392,32258,246181,1502032,98472,1344493,13820,NA,425,33,4,36,221,14,197,2,704115,2307,323,2465,15044,986,13466,138,47893902,25,196,1200,78,1074,11,3821936,27,168,11,150,1,535127,1282,84,1148,11,4083867,513,7005,72,24916939,459,4,1633546,64,22303546,229259,"Barbados","BRB",108582,0,0,0,1,0,0
0,46,40,14,9,17167,2,443,5,10,46,48,11,74,0,9534956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1888,693,458,804456,117,20764,242,492,2160,2284,515,3504,38,446788968,596,394,691869,100,17858,208,423,1857,1964,443,3014,33,384258726,144,254068,36,6557,76,155,682,721,162,1106,12,141107813,168040,24,4337,50,102,451,477,107,732,8,93328149,42919,7607624,88930,180263,791443,836989,188847,1283992,14129,NA,1107,12,26,115,121,27,186,2,23837390,2295,4652,20428,21603,4874,33141,364,NA,54,238,252,56,387,4,49391072,484,511,115,785,8,100117038,2247,507,3447,37,439561471,536,3646,40,464857709,822,9,104884516,61,713119359,7847268,"Belarus","BLR",994037,0,0,1,0,0,0
11,375,41,18,12,42658,0,114,4,25,31,48,5,81,0,11655923,4172,464,206,142,473936,2,1276,47,278,348,541,62,906,10,129497304,15698,6974,4825,16021025,75,43151,1611,9426,11792,18309,2118,30657,349,NA,776,537,1783128,8,4802,179,1049,1312,2037,235,3412,38,487217581,238,792212,3,2133,79,466,583,905,104,1515,17,216462146,548120,2,1476,55,322,403,626,72,1048,11,149766954,8531,4901385,183005,1070730,1339479,2079733,240594,3482219,39715,NA,22,0,5,6,9,1,16,0,2331184,492,2883,3607,5601,648,9379,106,1339242240,107,134,209,24,350,3,50003909,788,1223,141,2048,23,292563667,1530,177,2563,29,365995982,274,3979,45,568261214,460,5,65739405,75,951472994,10851664,"Belgium","BEL",4872829,0,0,1,0,0,0
54,16,25,3,2,7824,2,176,17,6,32,90,1,74,0,405285,897,1365,210,124,427444,136,9667,934,341,1761,4921,71,4076,39,22140719,410,63,37,128522,41,2906,281,102,529,1479,21,1225,11,6657211,96,56,195609,62,4423,427,156,806,2252,32,1865,17,10132125,8,30147,9,681,65,24,124,347,5,287,2,1561563,17831,5,403,38,14,73,205,2,170,1,923644,19560,1384575,133874,48902,252335,704842,10171,583853,5602,NA,442,42,15,80,225,3,186,1,1013212,3027,1105,5706,15940,230,13204,126,71718017,106,551,1541,22,1276,12,6934426,201,563,8,466,4,2533031,2905,41,2406,23,13070441,117,6721,64,36509288,97,0,526870,53,30242366,290184,"Belize","BLZ",71414,0,0,0,1,0,0
27,99,18,3,1,2064,49,235,0,0,12,11,0,61,0,13352864,2753,522,90,53,57344,1377,6551,27,16,341,306,13,1715,15,370942561,1863,321,192,204586,4915,23374,98,59,1219,1093,49,6122,54,1323402351,60,36,38807,932,4433,18,11,231,207,9,1161,10,251033843,6,6696,160,765,3,1,39,35,1,200,1,43316690,4008,96,458,1,1,23,21,0,119,1,25931261,102386,486845,2043,1238,25390,22778,1032,127507,1125,NA,11698,49,29,610,547,24,3063,27,662302054,233,141,2900,2602,117,14568,128,NA,0,12,10,0,61,0,13219335,7,6,0,37,0,8011718,135,6,759,6,164240227,5,681,6,147348854,30,0,6676432,33,824806409,7277310,"Benin","BEN",28036,1,0,0,0,0,0
31,21,28,4,2,8708,1,217,9,6,32,79,1,71,0,782457,666,900,153,93,274146,47,6833,306,196,1015,2512,53,2259,20,24631746,605,103,63,184517,31,4599,206,132,683,1690,36,1520,13,16578698,139,85,249065,42,6208,278,178,922,2282,48,2052,18,22378270,14,42541,7,1060,47,30,157,389,8,350,3,3822302,25925,4,646,29,18,96,237,5,213,1,2329374,13062,1890340,84908,54428,280852,695007,14804,625103,5695,NA,325,14,9,48,119,2,107,0,1173685,2116,1356,7000,17323,369,15580,141,169844811,60,314,778,16,699,6,7628955,201,498,10,448,4,4890356,2573,54,2314,21,25234238,135,5728,52,62445545,122,1,1330176,46,56164763,511726,"Bhutan","BTN",62697,0,1,0,0,0,0
44,10,25,6,4,6885,7,204,6,6,32,25,1,71,0,12224114,453,1128,297,195,306006,315,9079,306,277,1433,1128,48,3177,31,543239626,259,68,44,70249,72,2084,70,63,329,258,11,729,7,124710411,170,111,174900,180,5189,175,158,819,644,27,1816,18,310492495,29,46162,47,1369,46,41,216,170,7,479,4,81950460,30249,31,897,30,27,141,111,4,314,3,53700532,48889,1406767,47443,43036,222067,174782,7574,492405,4944,NA,1450,48,44,228,180,7,507,5,86791209,1407,1276,6588,5185,224,14609,146,NA,43,222,174,7,492,4,84224145,201,158,6,446,4,76400712,818,35,2306,23,394227676,27,1815,18,310284685,78,0,13446525,51,874146392,8776913,"Bolivia","BOL",1212147,0,0,0,0,0,1
0,68,42,16,10,11713,0,329,10,30,47,97,3,77,0,3233530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2911,1134,733,802354,13,22578,690,2068,3267,6655,239,5301,53,221483870,704,455,497840,8,14009,428,1283,2027,4129,148,3289,33,137425025,177,194087,3,5461,167,500,790,1609,57,1282,12,53576358,125467,2,3530,107,323,510,1040,37,829,8,34634339,2342,3861309,118076,353759,558752,1138168,40998,906655,9136,NA,65,2,6,9,19,0,15,0,646706,3322,9954,15723,32028,1153,25513,257,1065884661,304,480,979,35,780,7,32593982,1440,2934,105,2337,23,97652606,4634,166,3691,37,154239381,340,7520,75,314182708,270,2,11317355,60,250275222,2522153,"Bosnia and Herzegovina","BIH",403666,0,0,1,0,0,0
